Posted,Title,Price,Deets,Address,URL
May 11,SPECIAL~4 WEEKS FREE~4 WEEKS FREE,$2895,"
                    2br -
                    1100ft",200 N 16TH STREET,https://philadelphia.craigslist.org/apa/d/philadelphia-special4-weeks-free4-weeks/6886555782.html
May 11,"1 Bed 1 Bath - Pool, Laundry Facilities in Building",$1095,"
                    1br -
                    770ft",,https://philadelphia.craigslist.org/apa/d/southampton-1-bed-1-bath-pool-laundry/6886572432.html
May 11,Large Closets-Pet Friendly,$1230,"
                    2br -
                    880ft",,https://philadelphia.craigslist.org/apa/d/southampton-large-closets-pet-friendly/6886572328.html
May 11,"2 Bed 1 Bath - On-site Maintenance, On-site Management",$1255,"
                    2br -
                    880ft",,https://philadelphia.craigslist.org/apa/d/southampton-2-bed-1-bath-on-site/6886572214.html
May 11,"PRICE DROP!!Brewerytown 3 bed 2 bath HOUSE, C/A, W/D & MORE!!",$1025,"
                    3br -
                ",1740 N Newkirk St>Brewerytown>Philadelphia,https://philadelphia.craigslist.org/apa/d/philadelphia-price-dropbrewerytown-3/6886572013.html
May 11,WOW!! 2 bedroom apartment for rent FACING WASHINGTON SQUARE!!!,$2495,"
                    2br -
                ",Washington Square Philadelphia,https://philadelphia.craigslist.org/apa/d/philadelphia-wow-2-bedroom-apartment/6886531864.html
May 11,A unique opportunity to live on one of the nicest corners in the city!,$3985,"
                    4br -
                    2331ft",Society Hill Philadelphia,https://philadelphia.craigslist.org/apa/d/philadelphia-unique-opportunity-to-live/6886501263.html
May 11,Perfect 4 bedroom House for Rent,$1000,"
                    4br -
                ",Pottstown,https://philadelphia.craigslist.org/apa/d/pottstown-perfect-4-bedroom-house-for/6886480765.html
May 11,"Beautiful Furnished One Bedroom , All Utilities included !",$2990,"
                    1br -
                    620ft",,https://philadelphia.craigslist.org/apa/d/haverford-beautiful-furnished-one/6877620207.html
May 11,Spacious 3 Bedroom 2 Bathroom on Ground Floor - High End Finishes,$2500,"
                    3br -
                    1407ft",Garnet Valley,https://philadelphia.craigslist.org/apa/d/glen-mills-spacious-3-bedroom-2/6883360195.html
May 11,"It boasts a superior location, an undeniable charm, a wide variety of",$1625,"
                    1br -
                    600ft",Rittenhouse Square Philadelphia,https://philadelphia.craigslist.org/apa/d/philadelphia-it-boasts-superior/6886488877.html
May 11,"☺ BBQ and deck area, Bocce ball field, Philadelphia Apartment Living",$2615,"
                    2br -
                    2115ft",,https://philadelphia.craigslist.org/apa/d/philadelphia-bbq-and-deck-area-bocce/6881771960.html
May 11,Enjoy the perks of living at an Edgewood Community!,$2306,"
                    2br -
                    1203ft",Cherry Hill,https://philadelphia.craigslist.org/apa/d/cherry-hill-enjoy-the-perks-of-living/6886570248.html
May 11,"❄ West Chester Apartment Living, Newly Renovated Interiors, Dog Park",$2104,"
                    3br -
                    1394ft",,https://philadelphia.craigslist.org/apa/d/west-chester-west-chester-apartment/6884988748.html
May 11,"Upgraded Kitchens & Bathrooms, Walk-In Closets, Private Entrances",$1655,"
                    2br -
                    1020ft",10 min. walk to Chester County Hospital,https://philadelphia.craigslist.org/apa/d/west-chester-upgraded-kitchens/6883326342.html
May 11,"Cozy 1 bedroom with great amenities! Gym, Pool and more!",$1629,"
                    1br -
                    745ft",west chester,https://philadelphia.craigslist.org/apa/d/west-chester-cozy-1-bedroom-with-great/6886569750.html
May 11,"FISHTOWN LOFT- 1 bed 1 bath w/exposed brick, W/D & MORE!! 2042 Amber",$1750,"
                    1br -
                ",2042 Amber St > FISHTOWN,https://philadelphia.craigslist.org/apa/d/philadelphia-fishtown-loft-1-bed-1-bath/6886568859.html
May 11,--Fully Upgraded--Stainless Steel--Amazing 4 Bedroom Spacious Layout!-,$780,"
                    4br -
                    2880ft","Orthodox St, Philadelphia",https://philadelphia.craigslist.org/apa/d/philadelphia-fully-upgraded-stainless/6886488272.html
May 11,Well kept 1 Bedroom apartment,$650,"
                    1br -
                ",Royersford,https://philadelphia.craigslist.org/apa/d/royersford-well-kept-1-bedroom-apartment/6886484984.html
May 11,"WiFi Lounge, New Interior Hallways, Barbeque / Picnic Area",$1575,"
                    2br -
                ",,https://philadelphia.craigslist.org/apa/d/west-chester-wifi-lounge-new-interior/6883378186.html
May 11,Studio apartment for rent,$1325,N/A,Philadelphia,https://philadelphia.craigslist.org/apa/d/philadelphia-studio-apartment-for-rent/6886567844.html
May 11,Newly Renovated 3 Bedroom near East Passyunk Ave,$1700,"
                    3br -
                    1100ft",South Philly,https://philadelphia.craigslist.org/apa/d/newly-renovated-3-bedroom-near-east/6880483103.html
May 11,2 Bedroom in Center City - New Renovation - Close to City Hall,$2200,"
                    2br -
                    1100ft",Center City West,https://philadelphia.craigslist.org/apa/d/2-bedroom-in-center-city-new-renovation/6880385921.html
May 11,Newly Rehabbed 2 Bedroom House in Fishtown,$1700,"
                    2br -
                    1050ft",Fishtown,https://philadelphia.craigslist.org/apa/d/newly-rehabbed-2-bedroom-house-in/6881145581.html
May 11,Beautiful 3 Bedroom Renovation in Passyunk Square,$1975,"
                    3br -
                    1400ft",Passyunk Square,https://philadelphia.craigslist.org/apa/d/beautiful-3-bedroom-renovation-in/6884141837.html
May 11,Large renovated 1 bedroom apartment near Rittenhouse Sq.,$1600,"
                    1br -
                    800ft",Rittenhouse Square,https://philadelphia.craigslist.org/apa/d/large-renovated-1-bedroom-apartment/6875588004.html
May 11,"♥ Apartment Home in West Chester, Speak Easy Wine Room, Gas Fireplaces",$1600,"
                    2br -
                    926ft",,https://philadelphia.craigslist.org/apa/d/west-chester-apartment-home-in-west/6886559552.html
May 11,Fantastic one bed/one bath rental on a great block in Old City,$1800,"
                    1br -
                    853ft",Old City Philadelphia,https://philadelphia.craigslist.org/apa/d/philadelphia-fantastic-one-bed-one-bath/6886555621.html
May 11,POINT BREEZE PRICE DROP! Great 3 bed 1 bath HOME!!! - 1426 s 24th St,$1100,"
                    3br -
                ",1426 S 24th St>POINT BREEZE>SOUTH PHILLY,https://philadelphia.craigslist.org/apa/d/philadelphia-point-breeze-price-drop/6886565923.html
May 11,7427 Torresdale ave,$1100,N/A,Cottman/ Torresdale,https://philadelphia.craigslist.org/apa/d/philadelphia-7427-torresdale-ave/6875948194.html
May 11,Spacious 1 bedroom apartment in Rittenhouse square area,$1650,"
                    1br -
                    850ft",Lombard street,https://philadelphia.craigslist.org/apa/d/philadelphia-spacious-1-bedroom/6886565214.html
